NR,ID,Order,Date,Island,Location,Site,Altitude,Docility,docility_time,docility_obs,Net Number,band,ColoRS RiGht,ColoRS Left,Species,Sex,age,Plum,BP.CP,Beak LengthA,Beak LengthB,Beak LengthC,Beak DepthA,Beak DepthB,Beak DepthC,Beak WidthA,Beak WidthB,Beak WidthC,Head Length,Head Depth,Head Width,Tarsus,Wing Chord,TipA,TipB,TipC,SideA,SideB,SideC,Mass,Blood,By?,Feces,Feces.Notes,Pox.Notes,Molting.Notes,temperature,Photo,Page_data_sheet,Notes,Meanbeaklength,Meanbeakdepth,Meanbeakwidth,Meantip,Meanside,Year,Logitud,Latitud,Recapture,Recapture.1,Recapture.2,Recapture.3,Extra.notes,DataSource,Sex0,Species1,Species0,MedianTip,MedianSide,Plum0,blackness,BANDER,BANDFINAL,CAPTURE,STATUS,sex,AdultMale,Species2,Head Length_correction_2018,MedianBeakLength,MedianBeakDepth,MedianBeakWidth,Blood samples location,Blood sample types,Position_storage,Comments,DNA extraction who,DNA extraction date,DNA extraction protocol,Notes,DNA.Box_location,Box.number,Nano.Quant,Pico.Green.ng.ul,Comment.Pico.Green,RAD.Library,Genomic.analysis,unique_ID,Importation_permit_number_CFIA,Other_projects,Original.sort
,12771,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0182,,,scandens,f,ad,,4,14.13,,,8.19,,,7.72,,,,,,20.25,67,,,,,,,20.7,y,MOB,,,,y,,y,4,,14.13,8.19,7.72,,,2019,,,,,,,,,,,,,,,,,,,,,,,,14.13,8.19,7.72,RM (2019 Binder),BC,Binder_2019_P55,,,,,,,,,,,,,,,,
,12772,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0183,,,crassirostris,f,ad,,2.5,10.23,,,10.49,,,9.26,,,,,,26.05,78,,,,,,,31.7,y,MOB,,,n,n,,y,4,,10.23,10.49,9.26,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.23,10.49,9.26,RM (2019 Binder),BC,Binder_2019_P02,,,,,,,,,,,,,,,,
,12773,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0184,,,crassirostris,f,ad,,4,11.22,,,10.61,,,9.61,,,,,,26.99,80,,,,,,,31,y,MOB,,,,n,,y,4,Toe missing R4. Long beak tip,11.22,10.61,9.61,,,2019,,,,,,,,,,,,,,,,,,,,,,,,11.22,10.61,9.61,RM (2019 Binder),BC,Binder_2019_P03,,,,,,,,,,,,,,,,
,12774,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,PP1A319,,,fortis,f,ad,,3,11.8,,,11.07,,,10.48,,,,,,20.55,69,,,,,,,21.6,y,PC,,,n,n,,y,4,,11.8,11.07,10.48,,,2019,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.07,10.48,RM (2019 Binder),BC,Binder_2019_P15,,,,,,,,,,,,,,,,
,12775,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0185,,,crassirostris,m,ad,5,2,10.85,,,11.44,,,9.97,,,,,,29.49,85,,,,,,,37.8,y,MOB,,,,n,,y,4,,10.85,11.44,9.97,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.85,11.44,9.97,RM (2019 Binder),BC,Binder_2019_P03,,,,,,,,,,,,,,,,
,12776,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0186,,,crassirostris,f,ad,,2,10.88,,,10.45,,,9.23,,,,,,25.36,81.5,,,,,,,30.4,y,MOB,,,n,y,,y,4,,10.88,10.45,9.23,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.88,10.45,9.23,RM (2019 Binder),BC,Binder_2019_P03,,,,,,,,,,,,,,,,
,12777,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0187,,,crassirostris,f,ad,,3,10.22,,,10.37,,,9.81,,,,,,27.68,81,,,,,,,38,y,MOB,,,,,,y,4,,10.22,10.37,9.81,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.22,10.37,9.81,RM (2019 Binder),BC,Binder_2019_P03,,,,,,,,,,,,,,,,
,12778,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0188,,,crassirostris,f,ad,,4,10.41,,,10.45,,,9.71,,,,,,26.65,82,,,,,,,31.4,y,MOB,,,n,n,,y,4,,10.41,10.45,9.71,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.41,10.45,9.71,RM (2019 Binder),BC,Binder_2019_P03,,,,,,,,,,,,,,,,
,12779,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0189,brown-silver,green-yellow,fortis,f,ad,,2,12.35,,,11.98,,,10.67,,,,,,21.16,70,,,,,,,23.8,y,MOB,,,n,n,,y,5,,12.35,11.98,10.67,,,2019,,,,,,,,,,,,,,,,,,,,,,,,12.35,11.98,10.67,RM (2019 Binder),BC,Binder_2019_P13,,,,,,,,,,,,,,,,
,12780,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0190,,,crassirostris,m,ad,5,1,10.63,,,10.69,,,9.85,,,,,,27.19,80,,,,,,,30.5,y,MOB,,,,,,y,5,Kristen's practise bird (entered measurements by MOB),10.63,10.69,9.85,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.63,10.69,9.85,RM (2019 Binder),BC,Binder_2019_P03,,,,,,,,,,,,,,,,
,12781,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0191,,,crassirostris,f,ad,,2,9.92,,,10.34,,,9.34,,,,,,26.79,82,,,,,,,31.4,y,MOB,y,,,n,,y,5,,9.92,10.34,9.34,,,2019,,,,,,,,,,,,,,,,,,,,,,,,9.92,10.34,9.34,RM (2019 Binder),BC,Binder_2019_P03,,,,,,,,,,,,,,,,
,12782,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,,SM075,,,fuliginosa,f,,,,8.17,,,7.08,,,6.67,,,,,,19.26,56,,,,,,,13.7,y,SM,,,,,,n,IMG_9759,,8.17,7.08,6.67,,,2019,,,,,,,,,,,,,,,,,,,,,,,,8.17,7.08,6.67,,,,,,,,,,,,,,,,,,,
,12783,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,,SM1231,,,fortis,m,,2,,12.92,,,11.67,,,6.34,,,,,,21.81,69,,,,,,,22.1,y,SM,,,y,,,n,IMG_9759,,12.92,11.67,6.34,,,2019,,,,,,,,,,,,,,,,,,,,,,,,12.92,11.67,6.34,,,,,,,,,,,,,,,,,,,
,12784,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,,SM1232,,,fortis,m,,5,,11.39,,,11.79,,,9.6,,,,,,18.5,72,,,,,,,21.1,y,SM,,,,,,n,IMG_9759,,11.39,11.79,9.6,,,2019,,,,,,,,,,,,,,,,,,,,,,,,11.39,11.79,9.6,,,,,,,,,,,,,,,,,,,
,12785,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,,SM1233,,,fortis,f,,,,9.31,,,9.95,,,8.01,,,,,,18.04,64,,,,,,,17.2,y,SM,,,,,,n,IMG_9759,,9.31,9.95,8.01,,,2019,,,,,,,,,,,,,,,,,,,,,,,,9.31,9.95,8.01,,,,,,,,,,,,,,,,,,,
,12786,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,,LF0471,,,crassirostris,f,,,,10.66,,,11.58,,,9.27,,,,,,23.98,80,,,,,,,31,y,SM,,,,,,n,IMG_9759,,10.66,11.58,9.27,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.66,11.58,9.27,,,,,,,,,,,,,,,,,,,
,12787,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,,SM1234,,,crassirostris,f,,,,10.44,,,11.42,,,8.51,,,,,,22.75,75,,,,,,,25.9,y,SM,,,,,,n,IMG_9759,,10.44,11.42,8.51,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.44,11.42,8.51,,,,,,,,,,,,,,,,,,,
,12788,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,,RHF004,,,crassirostris,m,,5,,10.26,,,11.55,,,9.52,,,,,,24.69,81,,,,,,,28.5,y,SM,y,,,,,n,IMG_9759,Changed for band SM1235,10.26,11.55,9.52,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.26,11.55,9.52,,,,,,,,,,,,,,,,,,,
,12789,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,,JP4481,,,crassirostris,m,,4,,10.7,,,12.27,,,9.9,,,,,,26.41,85,,,,,,,29.8,y,SM,,,,,,n,IMG_9759,,10.7,12.27,9.9,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.7,12.27,9.9,,,,,,,,,,,,,,,,,,,
,12790,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,,SM1236,,,crassirostris,m,,5,,10.35,,,11.34,,,8.75,,,,,,24.17,84.5,,,,,,,30.4,y,SM,,,,,,n,IMG_9759,,10.35,11.34,8.75,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.35,11.34,8.75,,,,,,,,,,,,,,,,,,,
