Index,Sort order,GeneID,avg mUCRA,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
10651,228,NMNAT1,19,96,5.8,-2.3,2.3,0,0,yes,2,1,1
10663,128,NNT,287,118,7.7,1.3,1.3,0,0,yes,2,1,1
10673,100,NOL10,476,237,8.5,1,1,0,0,yes,2,1,1
10695,149,NOTUM,10,28,4.2,-1.5,1.5,0,0.02,yes,2,1,1
10710,172,NPDC1,11,37,4.6,-1.7,1.7,0,0,yes,2,1,1
10753,185,NR4A2,520,203,8.5,1.4,1.4,0,0,yes,2,1,1
10754,428,NR4A3,2229,115,10.2,4.3,4.3,0,0,yes,2,1,1
10768,107,NRGN,101,212,7.3,-1.1,1.1,0,0,yes,2,1,1
10776,136,NRROS,45,115,6.3,-1.4,1.4,0.01,0.05,yes,2,1,1
10781,127,NSD2,148,61,6.7,1.3,1.3,0,0,yes,2,1,1
10805,142,NT5C3B,1288,3436,11.2,-1.4,1.4,0,0,yes,2,1,1
10830,107,NUBP2,959,1929,10.5,-1,1,0,0,yes,2,1,1
10832,115,NUCB2,1026,493,9.6,1.1,1.1,0,0,yes,2,1,1
10844,200,NUDT19,15,4,3.2,2,2,0,0,yes,1,1,1
10884,130,NXPE3,317,640,8.9,-1,1,0,0,yes,2,1,1
10920,138,OGFRL1,24,60,5.4,-1.3,1.3,0.01,0.04,yes,2,1,1
10936,163,OMA1,44,88,6,-1,1,0,0.03,yes,2,1,1
10953,101,ORAI1,352,710,9.1,-1,1,0,0,yes,2,1,1
10997,220,OTUD3,4266,1473,11.5,1.5,1.5,0,0,yes,2,1,1
11018,129,P2RX5,35,85,5.9,-1.3,1.3,0,0,yes,2,1,1
11024,108,P2RY2,432,914,9.4,-1.1,1.1,0,0.01,yes,2,1,1
11032,237,P4HA1,1003,204,9.2,2.3,2.3,0,0,yes,2,1,1
11053,127,PAG1,40,97,6.1,-1.3,1.3,0.01,0.03,yes,2,1,1
11066,176,PALM,4,16,3.3,-1.8,1.8,0,0.02,yes,1,1,1
11068,139,PAM,102,268,7.5,-1.4,1.4,0,0,yes,2,1,1
11075,111,PANX1,24,51,5.2,-1.1,1.1,0,0,yes,2,1,1
11083,118,PAPSS1,282,582,8.8,-1,1,0,0.01,yes,2,1,1
11107,126,PARS2,70,29,5.6,1.3,1.3,0,0,yes,2,1,1
11169,261,PCNX4,325,53,7.6,2.6,2.6,0,0,yes,2,1,1
11172,299,PCSK1,14,3,3.1,2.5,2.5,0,0,yes,1,1,1
11190,110,PDCD2,29,63,5.5,-1.1,1.1,0,0.01,yes,2,1,1
11203,326,PDE1A,4,14,3.2,-1.7,1.7,0,0.02,yes,1,1,1
11227,160,PDHX,113,344,7.8,-1.6,1.6,0,0,yes,2,1,1
11230,144,PDIA4,105,283,7.6,-1.4,1.4,0,0,yes,2,1,1
11262,586,PDZD7,1401,50,9.5,4.8,4.8,0,0,yes,2,1,1
11271,287,PEBP1,531,3871,11.1,-2.9,2.9,0,0,yes,2,1,1
11297,100,PEX5,81,162,6.9,-1,1,0,0,yes,2,1,1
11308,113,PFKP,176,385,8.1,-1.1,1.1,0,0,yes,2,1,1
11310,231,PGA3,8,39,4.6,-2.3,2.3,0,0,yes,1,1,1
11372,122,PHOSPHO2,157,67,6.8,1.2,1.2,0,0,yes,2,1,1
11407,144,PIGK,23,63,5.4,-1.4,1.4,0,0,yes,2,1,1
11461,256,PITRM1,469,2572,10.6,-2.5,2.5,0,0,yes,2,1,1
11472,227,PKD2L1,20,64,5.4,-1.7,1.7,0,0.02,yes,2,1,1
11477,257,PKIB,10,2,2.6,2.6,2.6,0,0.02,yes,1,1,1
11491,338,PLA2G15,425,41,7.9,3.4,3.4,0,0,yes,2,1,1
11502,131,PLAGL1,8,20,3.8,-1.3,1.3,0,0.01,yes,1,1,1
11509,156,PLCB1,29,86,5.8,-1.6,1.6,0,0,yes,2,1,1
11527,166,PLD4,149,372,8,-1.3,1.3,0,0.01,yes,2,1,1
11580,328,PLPPR3,169,34,6.7,2.3,2.3,0,0,yes,2,1,1
11598,123,PM20D2,6156,2628,12.1,1.2,1.2,0,0,yes,2,1,1
11600,135,PMEPA1,7,19,3.7,-1.4,1.4,0,0.01,yes,1,1,1
11602,194,PMM1,782,204,8.9,1.9,1.9,0,0,yes,2,1,1
11657,265,POLQ,15,75,5.5,-2.3,2.3,0,0.01,yes,2,1,1
11709,173,PPCDC,263,79,7.4,1.7,1.7,0,0,yes,2,1,1
11717,354,PPFIA4,9,32,4.4,-1.7,1.7,0,0.01,yes,1,1,1
11723,144,PPIC,72,148,6.8,-1,1,0,0,yes,2,1,1
11726,151,PPIF,44,98,6.1,-1.2,1.2,0,0,yes,2,1,1
11733,107,PPIP5K1,65,130,6.6,-1,1,0,0.01,yes,2,1,1
11744,247,PPM1K,8,45,4.7,-2.5,2.5,0,0,yes,1,1,1
11747,107,PPME1,1040,493,9.6,1.1,1.1,0,0,yes,2,1,1
11766,135,PPP1R3D,17,42,4.9,-1.4,1.4,0,0,yes,2,1,1
11778,248,PPP2R3A,42,7,4.6,2.5,2.5,0,0,yes,1,1,1
11787,243,PPP3CC,67,365,7.8,-2.4,2.4,0,0,yes,2,1,1
11807,168,PRDM1,154,494,8.3,-1.7,1.7,0,0.03,yes,2,1,1
11837,195,PRIMPOL,17,40,4.8,-1.3,1.3,0,0.03,yes,2,1,1
11850,140,PRKCA,8,21,3.9,-1.4,1.4,0,0.03,yes,1,1,1
11852,105,PRKCD,57,118,6.5,-1.1,1.1,0.01,0.04,yes,2,1,1
11865,157,PRKX,18,46,5,-1.4,1.4,0,0.02,yes,2,1,1
11879,119,PROS1,67,153,6.8,-1.2,1.2,0,0,yes,2,1,1
11922,199,PRUNE2,177,44,6.8,2,2,0,0,yes,2,1,1
11924,156,PRXL2C,350,118,7.9,1.6,1.6,0,0,yes,2,1,1
11977,162,PSTPIP1,57,153,6.7,-1.4,1.4,0,0.01,yes,2,1,1
11983,162,PTBP3,365,127,7.9,1.5,1.5,0,0,yes,2,1,1
12027,243,PTPN22,25,102,6,-2,2,0,0,yes,2,1,1
12032,119,PTPN6,518,1178,9.7,-1.2,1.2,0,0.02,yes,2,1,1
12070,148,PUS7L,16,46,5,-1.5,1.5,0.01,0.04,yes,2,1,1
12072,618,PVALB,16,0,3,6.2,6.2,0,0,yes,1,1,1
12104,147,R3HCC1L,299,108,7.7,1.5,1.5,0,0,yes,2,1,1
12151,107,RAB40C,1674,3511,11.3,-1.1,1.1,0,0,yes,2,1,1
12181,152,RAD21L1,48,17,5,1.5,1.5,0,0,yes,2,1,1
12183,120,RAD50,79,182,7,-1.2,1.2,0,0.02,yes,2,1,1
12208,113,RALGAPA1,201,92,7.2,1.1,1.1,0,0,yes,2,1,1
12217,102,RAMP2,63,128,6.6,-1,1,0,0.01,yes,2,1,1
12240,187,RAPH1,12,33,4.5,-1.4,1.4,0,0.02,yes,2,1,1
12263,190,RASL11B,41,13,4.8,1.7,1.7,0,0.01,yes,2,1,1
12268,118,RASSF5,101,229,7.4,-1.2,1.2,0,0.02,yes,2,1,1
12282,161,RBFA,403,132,8.1,1.6,1.6,0,0,yes,2,1,1
12324,177,RBP7,3,10,2.7,-1.8,1.8,0,0.02,yes,1,1,1
12337,254,RCC1,42124,12366,14.7,1.8,1.8,0,0,yes,2,1,1
12338,224,RCC1L,1876,398,10.2,2.2,2.2,0,0,yes,2,1,1
12349,158,RDH10,170,57,6.8,1.6,1.6,0,0,yes,2,1,1
12360,216,REEP4,94,37,6,1.3,1.3,0,0,yes,2,1,1
12366,141,RELL1,140,333,7.9,-1.3,1.3,0,0,yes,2,1,1
12396,112,RFC5,15,32,4.6,-1.1,1.1,0,0.03,yes,2,1,1
12434,225,RGS3,19,84,5.7,-2.1,2.1,0,0,yes,2,1,1
12445,119,RHBDD1,1356,3094,11.1,-1.2,1.2,0,0,yes,2,1,1
12463,145,RHOG,56,152,6.7,-1.4,1.4,0,0.02,yes,2,1,1
12471,222,RHPN2,3,11,2.8,-2.2,2.2,0,0.01,yes,1,1,1
12482,259,RIMBP2,2,11,2.7,-2.6,2.6,0,0.01,yes,1,1,1
12491,116,RIOK1,304,136,7.8,1.2,1.2,0,0,yes,2,1,1
12497,146,RIPK2,43,88,6,-1,1,0,0.02,yes,2,1,1
12520,188,RND3,40,13,4.7,1.6,1.6,0,0.01,yes,2,1,1
12529,142,RNF128,4,11,2.9,-1.4,1.4,0.01,0.05,yes,1,1,1
12544,167,RNF157,34,14,4.6,1.3,1.3,0.01,0.04,yes,2,1,1
12573,118,RNF41,2858,6471,12.2,-1.2,1.2,0,0,yes,2,1,1
12579,159,RNFT2,49,17,5,1.5,1.5,0,0,yes,2,1,1
12581,104,RNH1,107,220,7.4,-1,1,0,0,yes,2,1,1
12587,162,RNPS1,9408,3052,12.6,1.6,1.6,0,0,yes,2,1,1
12670,167,RPP30,6,16,3.5,-1.4,1.4,0.01,0.04,yes,1,1,1
12703,109,RPS6KA1,288,611,8.8,-1.1,1.1,0.01,0.04,yes,2,1,1
12727,150,RRM2,14,40,4.8,-1.5,1.5,0,0.02,yes,2,1,1
12759,193,RTCA,7,15,3.5,-1.2,1.2,0.01,0.04,yes,1,1,1
12773,163,RUBCNL,18,55,5.2,-1.6,1.6,0,0,yes,2,1,1
12776,116,RUFY3,46,102,6.2,-1.2,1.2,0,0,yes,2,1,1
12785,487,RUSC2,33,2,4.1,3.9,3.9,0,0,yes,1,1,1
12803,106,S100A10,511,1064,9.6,-1.1,1.1,0,0,yes,2,1,1
12804,785,S100B,0,42,4.4,-7.8,7.8,0,0,yes,1,1,1
12810,148,S1PR4,77,214,7.2,-1.5,1.5,0,0.02,yes,2,1,1
12821,169,SAMD12,10,23,4,-1.3,1.3,0,0.03,yes,2,1,1
12846,106,SASH3,148,305,7.8,-1,1,0,0.02,yes,2,1,1
12861,103,SC5D,158,322,7.9,-1,1,0,0.01,yes,2,1,1
12881,190,SCFD2,17,41,4.9,-1.3,1.3,0,0.03,yes,2,1,1
