"","x"
"577","HEATR5B"
"578","HECTD4"
"579","HELZ"
"580","HEXA"
"581","HEXB"
"582","HEY2"
"583","HGD"
"584","HGS"
"585","HIF1A"
"586","HIKESHI"
"587","HIP1"
"588","HLX"
"589","HMBOX1"
"590","HMOX1"
"591","HNF1A"
"592","HNRNPH3"
"593","HOMER1"
"594","HOXA7"
"595","HPRT1"
"596","HRH1"
"597","HSD17B7"
"598","HSF4"
"599","HSP90B1"
"600","HTR4"
"601","HTRA1"
"602","HYKK"
"603","IDH3B"
"604","IFT81"
"605","IGF1R"
"606","IGFBP2"
"607","IGFBP3"
"608","IGSF3"
"609","IGSF6"
"610","IL12RB1"
"611","IL13RA1"
"612","IL17RA"
"613","IL18BP"
"614","IL1R2"
"615","IL22RA2"
"616","IL31RA"
"617","IL4I1"
"618","ILDR1"
"619","IMMP2L"
"620","IMPA1"
"621","IMPACT"
"622","IMPAD1"
"623","IMPDH2"
"624","INHBA"
"625","INKA2"
"626","IPCEF1"
"627","IQCB1"
"628","IQUB"
"629","IREB2"
"630","IRS1"
"631","ISYNA1"
"632","ITGA4"
"633","ITGAV"
"634","ITGB2"
"635","ITGB5"
"636","ITSN2"
"637","JDP2"
"638","KANSL2"
"639","KATNAL1"
"640","KBTBD11"
"641","KCNIP2"
"642","KCNIP4"
"643","KCNJ10"
"644","KCNJ16"
"645","KCNJ2"
"646","KCNJ9"
"647","KCNK10"
"648","KCNK13"
"649","KCNK5"
"650","KCNMB4"
"651","KCNN2"
"652","KCNN3"
"653","KCNT2"
"654","KCTD17"
"655","KCTD21"
"656","KCTD4"
"657","KCTD6"
"658","KCTD9"
"659","KDELR2"
"660","KDM8"
"661","KHDC4"
"662","KIAA0513"
"663","KIAA1755"
"664","KIAA1841"
"665","KIAA1958"
"666","KIF13B"
"667","KIF1A"
"668","KIF1B"
"669","KIF5C"
"670","KLC1"
"671","KLF4"
"672","KLF6"
"673","KLF7"
"674","KLHDC4"
"675","KLHL10"
"676","KLHL18"
"677","KLHL22"
"678","KLHL36"
"679","KLHL8"
"680","KRIT1"
"681","KRTCAP2"
"682","KYNU"
"683","L3MBTL3"
"684","LACC1"
"685","LAMC1"
"686","LAMTOR5"
"687","LANCL2"
"688","LAPTM4B"
"689","LAPTM5"
"690","LARGE1"
"691","LARS2"
"692","LCMT1"
"693","LDLRAD3"
"694","LECT2"
"695","LEKR1"
"696","LEPR"
"697","LEPROTL1"
"698","LETM2"
"699","LFNG"
"700","LGALS1"
"701","LGALS3"
"702","LGMN"
"703","LINGO1"
"704","LIPH"
"705","LITAF"
"706","LOC102031391"
"707","LOC102031649"
"708","LOC102031653"
"709","LOC102031697"
"710","LOC102031703"
"711","LOC102031708"
"712","LOC102031850"
"713","LOC102032171"
"714","LOC102032358"
"715","LOC102032374"
"716","LOC102032383"
"717","LOC102032406"
"718","LOC102032481"
"719","LOC102032501"
"720","LOC102032578"
"721","LOC102032583"
"722","LOC102032670"
"723","LOC102032799"
"724","LOC102032821"
"725","LOC102032827"
"726","LOC102032863"
"727","LOC102032889"
"728","LOC102032987"
"729","LOC102033008"
"730","LOC102033094"
"731","LOC102033190"
"732","LOC102033210"
"733","LOC102033255"
"734","LOC102033398"
"735","LOC102033422"
"736","LOC102033474"
"737","LOC102033478"
"738","LOC102033574"
"739","LOC102033647"
"740","LOC102033675"
"741","LOC102033681"
"742","LOC102033956"
"743","LOC102034129"
"744","LOC102034144"
"745","LOC102034202"
"746","LOC102034253"
"747","LOC102034260"
"748","LOC102034304"
"749","LOC102034411"
"750","LOC102034432"
"751","LOC102034485"
"752","LOC102034510"
"753","LOC102034562"
"754","LOC102034588"
"755","LOC102034609"
"756","LOC102034771"
"757","LOC102034773"
"758","LOC102034802"
"759","LOC102034831"
"760","LOC102034842"
"761","LOC102034850"
"762","LOC102034929"
"763","LOC102034982"
"764","LOC102035012"
"765","LOC102035121"
"766","LOC102035220"
"767","LOC102035226"
"768","LOC102035259"
"769","LOC102035288"
"770","LOC102035428"
"771","LOC102035487"
"772","LOC102035570"
"773","LOC102035628"
"774","LOC102035640"
"775","LOC102035660"
"776","LOC102035709"
"777","LOC102035795"
"778","LOC102035813"
"779","LOC102035845"
"780","LOC102035962"
"781","LOC102035972"
"782","LOC102035990"
"783","LOC102036046"
"784","LOC102036050"
"785","LOC102036057"
"786","LOC102036096"
"787","LOC102036170"
"788","LOC102036190"
"789","LOC102036223"
"790","LOC102036335"
"791","LOC102036346"
"792","LOC102036376"
"793","LOC102036382"
"794","LOC102036394"
"795","LOC102036473"
"796","LOC102036539"
"797","LOC102036541"
"798","LOC102036633"
"799","LOC102036670"
"800","LOC102036753"
"801","LOC102036771"
"802","LOC102036822"
"803","LOC102036849"
"804","LOC102036859"
"805","LOC102036876"
"806","LOC102036963"
"807","LOC102036968"
"808","LOC102036969"
"809","LOC102036983"
"810","LOC102037011"
"811","LOC102037116"
"812","LOC102037130"
"813","LOC102037219"
"814","LOC102037224"
"815","LOC102037237"
"816","LOC102037282"
"817","LOC102037327"
"818","LOC102037415"
"819","LOC102037468"
"820","LOC102037513"
"821","LOC102037519"
"822","LOC102037638"
"823","LOC102037641"
"824","LOC102037655"
"825","LOC102037658"
"826","LOC102037791"
"827","LOC102037794"
"828","LOC102037845"
"829","LOC102037853"
"830","LOC102037915"
"831","LOC102037916"
"832","LOC102037929"
"833","LOC102037953"
"834","LOC102037971"
"835","LOC102038003"
"836","LOC102038013"
"837","LOC102038020"
"838","LOC102038126"
"839","LOC102038191"
"840","LOC102038195"
"841","LOC102038263"
"842","LOC102038351"
"843","LOC102038383"
"844","LOC102038444"
"845","LOC102038458"
"846","LOC102038574"
"847","LOC102038629"
"848","LOC102038667"
"849","LOC102038688"
"850","LOC102038704"
"851","LOC102038749"
"852","LOC102038751"
"853","LOC102038772"
"854","LOC102038794"
"855","LOC102038810"
"856","LOC102038858"
"857","LOC102038910"
"858","LOC102038922"
"859","LOC102038969"
"860","LOC102039089"
"861","LOC102039206"
"862","LOC102039217"
"863","LOC102039231"
"864","LOC102039270"
"865","LOC102039470"
"866","LOC102039574"
"867","LOC102039624"
"868","LOC102039642"
"869","LOC102039653"
"870","LOC102039727"
"871","LOC102039786"
"872","LOC102039808"
"873","LOC102039809"
"874","LOC102039889"
"875","LOC102039906"
"876","LOC102040101"
"877","LOC102040227"
"878","LOC102040232"
"879","LOC102040241"
"880","LOC102040255"
"881","LOC102040312"
"882","LOC102040334"
"883","LOC102040351"
"884","LOC102040415"
"885","LOC102040526"
"886","LOC102040624"
